"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 23:11:35 GMT 2024","Wed Jan 31 23:11:35 GMT 2024","6","","org.acme.getting.started.testing.GreetingServiceTest","","org.acme.getting.started.testing.GreetingServiceTest","testGreetingService","testGreetingService()",""
"passed","Wed Jan 31 23:11:35 GMT 2024","Wed Jan 31 23:11:35 GMT 2024","3","","org.acme.getting.started.testing.GreetingResourceTest","","org.acme.getting.started.testing.GreetingResourceTest","allureStepApiTest","allureStepApiTest()",""
"passed","Wed Jan 31 23:11:33 GMT 2024","Wed Jan 31 23:11:34 GMT 2024","1151","","org.acme.getting.started.testing.GreetingResourceTest","","org.acme.getting.started.testing.GreetingResourceTest","testHelloEndpoint","testHelloEndpoint()",""
"passed","Wed Jan 31 23:11:35 GMT 2024","Wed Jan 31 23:11:35 GMT 2024","62","","org.acme.getting.started.testing.StaticContentTest","","org.acme.getting.started.testing.StaticContentTest","testIndexHtml","testIndexHtml()",""
"passed","Wed Jan 31 23:11:35 GMT 2024","Wed Jan 31 23:11:35 GMT 2024","36","","org.acme.getting.started.testing.GreetingResourceTest","","org.acme.getting.started.testing.GreetingResourceTest","testGreetingEndpoint","testGreetingEndpoint()",""
